Unnamed: 0,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
,1610612764,21601152,2017-04-02,WAS @ GSW,L,46.0,31.0,0.597,240,43,92,0.467,10,27,0.37,19,25,0.76,9,29,38,28,10,4,14,20,115,2.0,270.0,26.0,5.905,33.0,58.0,0.515151515152,0.534482758621,9.64285714286,
,1610612764,21601134,2017-03-31,WAS @ UTA,L,46.0,30.0,0.605,240,35,87,0.402,5,17,0.294,13,16,0.813,14,31,45,12,8,1,14,23,88,2.0,215.0,25.0,3.596,33.0,54.0,0.515151515152,0.37962962963,17.9166666667,
,1610612764,21601119,2017-03-29,WAS @ LAC,L,46.0,29.0,0.613,240,46,93,0.495,13,34,0.382,19,29,0.655,14,29,43,22,7,0,10,31,124,1.0,224.0,26.0,6.05,45.0,48.0,0.622222222222,0.510416666667,10.1818181818,
,1610612764,21601110,2017-03-28,WAS @ LAL,W,46.0,28.0,0.622,240,48,94,0.511,6,23,0.261,17,25,0.68,13,28,41,24,12,3,12,20,119,3.0,229.0,34.0,6.847,44.0,50.0,0.613636363636,0.48,9.54166666667,
,1610612764,21601083,2017-03-25,WAS @ CLE,W,45.0,28.0,0.616,240,49,82,0.598,8,18,0.444,21,26,0.808,11,29,40,24,10,4,11,23,127,1.0,210.0,34.0,6.351,39.0,43.0,0.717948717949,0.581395348837,8.75,
,1610612764,21601072,2017-03-24,WAS vs. BKN,W,44.0,28.0,0.611,240,49,97,0.505,10,26,0.385,21,22,0.955,11,35,46,29,9,5,10,19,129,2.0,251.0,36.0,5.55,40.0,57.0,0.5,0.59649122807,8.65517241379,
,1610612764,21601063,2017-03-22,WAS vs. ATL,W,43.0,28.0,0.606,240,38,95,0.4,11,34,0.324,17,23,0.739,17,37,54,23,9,6,19,26,104,2.0,248.0,21.0,3.809,63.0,32.0,0.484126984127,0.40625,10.7826086957,
,1610612764,21601047,2017-03-20,WAS @ BOS,L,42.0,28.0,0.6,240,37,86,0.43,8,35,0.229,20,26,0.769,8,31,39,24,6,5,18,28,102,2.0,271.0,24.0,5.318,44.0,42.0,0.431818181818,0.52380952381,11.2916666667,
,1610612764,21601030,2017-03-18,WAS @ CHA,L,42.0,27.0,0.609,240,29,79,0.367,11,33,0.333,24,31,0.774,8,36,44,21,6,7,12,21,93,1.0,275.0,15.0,3.946,37.0,42.0,0.540540540541,0.345238095238,13.0952380952,
,1610612764,21601021,2017-03-17,WAS vs. CHI,W,42.0,26.0,0.618,240,46,101,0.455,10,26,0.385,10,12,0.833,14,27,41,34,5,6,10,17,112,2.0,307.0,35.0,4.053,47.0,54.0,0.510638297872,0.5,9.02941176471,
