eth.src,eth.dst,ip.src,ip.dst,ip.proto
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
84:5b:12:5e:36:0a,5c:f9:dd:76:84:0b,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
84:5b:12:5e:36:0a,5c:f9:dd:76:84:0b,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
84:5b:12:5e:36:0a,5c:f9:dd:76:84:0b,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,192.30.255.113,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,192.30.255.113,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,192.30.255.113,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,192.30.255.113,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,192.30.255.113,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,192.30.255.113,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,192.30.255.113,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,192.30.255.113,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,192.30.255.113,10.134.116.85,6
